state,account_length,area_code,phone_number,intl_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churned
HI,99,415,367-2598,no,no,0,124.6,90,21.18,146.4,70,12.44,169.4,95,7.62,10.5,6,2.84,1,False
WV,36,408,370-5001,no,no,0,175.1,144,29.77,216.9,69,18.44,243.7,146,10.97,9.9,3,2.67,1,False
WV,87,415,332-3693,no,no,0,124.3,91,21.13,173.4,105,14.74,256.3,109,11.53,7.5,5,2.03,3,False
WV,139,415,403-9766,no,no,0,271.6,130,46.17,156,131,13.26,136.3,108,6.13,11.6,9,3.13,2,False
IN,189,510,363-2407,no,no,0,219.9,80,37.38,143.3,117,12.18,130.6,69,5.88,11.7,7,3.16,1,False
NM,96,415,395-9214,no,yes,33,183.3,115,31.16,201.4,87,17.12,177.4,84,7.98,10.4,15,2.81,3,False
DE,112,408,351-8894,no,no,0,101.1,119,17.19,214.4,67,18.22,179.5,112,8.08,10.3,5,2.78,2,False
NC,75,408,406-5003,no,no,0,203.3,70,34.56,228.9,97,19.46,222.2,118,10,14.3,3,3.86,1,False
NM,178,415,398-1332,no,yes,35,175.4,88,29.82,190,65,16.15,138.7,94,6.24,10.5,3,2.84,2,False
SC,112,415,363-8033,no,no,0,266,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2,True
NJ,108,415,333-1012,no,yes,41,171.6,110,29.17,136.1,78,11.57,183.4,103,8.25,10.8,7,2.92,0,False
AZ,100,510,391-6260,no,no,0,78.7,98,13.38,225.6,102,19.18,150.4,106,6.77,14,8,3.78,0,False
RI,121,510,336-1353,no,yes,20,211.9,110,36.02,215.1,120,18.28,238.5,107,10.73,9.4,2,2.54,0,False
SD,116,415,365-5629,no,no,0,63.7,101,10.83,195.8,95,16.64,210.1,87,9.45,10,6,2.7,1,False
NH,161,415,349-4397,no,no,0,173.4,100,29.48,213.7,74,18.16,141.5,69,6.37,11.5,4,3.11,1,False
AL,19,415,380-3910,yes,no,0,237.7,98,40.41,207.1,121,17.6,182.2,95,8.2,4.5,4,1.22,0,False
WV,104,415,354-7820,no,no,0,225.9,123,38.4,162.8,106,13.84,272.1,85,12.24,10.1,4,2.73,1,False
ID,119,415,338-9952,yes,yes,32,173,101,29.41,209.4,93,17.8,231.1,91,10.4,12.2,4,3.29,0,False
MD,125,415,405-1821,no,no,0,224.9,102,38.23,143.8,87,12.22,198.9,105,8.95,8,2,2.16,0,False
IN,156,510,329-8669,no,no,0,237.7,122,40.41,181.5,91,15.43,185.7,151,8.36,7.7,4,2.08,1,False
WY,109,415,328-8808,no,no,0,137,128,23.29,217,116,18.45,182.1,86,8.19,10,5,2.7,2,False
NH,95,510,409-3018,no,no,0,142.5,109,24.23,176.1,107,14.97,189.6,88,8.53,8.2,3,2.21,2,False
MN,90,408,421-5994,no,no,0,142.4,126,24.21,126.2,118,10.73,274.2,71,12.34,4.6,4,1.24,1,False
MA,105,415,354-4448,no,yes,21,147,112,24.99,197.3,43,16.77,267.4,93,12.03,8.7,3,2.35,2,False
NH,101,510,352-5081,no,no,0,220.3,124,37.45,188.6,101,16.03,278.4,98,12.53,10.6,4,2.86,1,False
MN,95,415,401-7803,no,no,0,149.2,96,25.36,260.7,116,22.16,201,120,9.05,8.1,2,2.19,1,False
IA,123,415,420-6052,no,no,0,204.4,88,34.75,137.5,111,11.69,226,100,10.17,10,4,2.7,0,False
NY,160,408,352-6084,no,no,0,216.8,77,36.86,207.3,117,17.62,228.6,117,10.29,5.6,2,1.51,1,False
AL,141,510,388-8583,no,yes,28,308,123,52.36,247.8,128,21.06,152.9,103,6.88,7.4,3,2,1,False
WV,87,415,415-3158,no,no,0,58,125,9.86,67.5,116,5.74,185.9,136,8.37,11.5,3,3.11,0,False
NM,81,415,402-9304,no,no,0,173.2,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2,False
CA,75,415,341-1916,no,yes,19,210.3,90,35.75,241.8,87,20.55,215.7,102,9.71,13.1,3,3.54,4,False
MA,126,408,381-2745,no,yes,24,58.9,125,10.01,305.5,90,25.97,158.9,73,7.15,12.1,6,3.27,0,False
ME,28,415,402-5014,no,no,0,236.8,102,40.26,167.1,87,14.2,280.2,115,12.61,9.7,3,2.62,3,False
FL,153,415,399-8846,no,no,0,228.9,102,38.91,160.7,136,13.66,203.1,109,9.14,12.5,2,3.38,0,False
NH,97,408,328-9267,no,yes,32,90,87,15.3,276.3,113,23.49,185.2,107,8.33,8.6,6,2.32,2,True
IN,115,408,348-7224,no,no,0,146.7,128,24.94,106.2,74,9.03,197.7,104,8.9,11.1,4,3,2,False
WI,95,408,336-2190,no,no,0,237.3,83,40.34,154,65,13.09,237,105,10.67,11.2,6,3.02,1,False
MA,17,415,376-4705,yes,no,0,162.8,118,27.68,229.6,91,19.52,332.7,94,14.97,13.6,3,3.67,0,True
NH,105,415,381-4076,no,yes,20,186.9,114,31.77,256.3,91,21.79,334.7,104,15.06,8.9,2,2.4,1,False
TX,121,415,348-8464,no,no,0,86.1,100,14.64,259.8,113,22.08,148,79,6.66,9.1,9,2.46,2,False
NC,125,408,412-7020,no,no,0,212.3,89,36.09,215.4,127,18.31,186.8,73,8.41,11.3,2,3.05,2,False
CT,124,415,386-8432,no,no,0,151,98,25.67,120.6,119,10.25,152.8,81,6.88,9.2,2,2.48,2,False
NJ,35,408,337-1802,no,no,0,158.6,67,26.96,130.4,96,11.08,229.8,80,10.34,6.9,5,1.86,2,False
WY,134,510,366-1084,no,no,0,296,93,50.32,226.4,117,19.24,246.8,98,11.11,12.3,10,3.32,0,True
LA,123,510,352-4182,no,yes,32,212.3,77,36.09,251.5,78,21.38,208.7,85,9.39,6.6,2,1.78,3,False
NV,124,415,368-5628,no,no,0,234.4,61,39.85,179.3,111,15.24,285.5,117,12.85,10.4,6,2.81,3,False
WV,133,510,333-8996,no,no,0,176.8,92,30.06,187.5,97,15.94,196.8,88,8.86,6.5,3,1.76,2,False
AR,185,415,353-2557,no,yes,19,157.3,123,26.74,257.7,94,21.9,190.4,107,8.57,9.6,6,2.59,0,False
SC,1,415,356-8621,no,yes,26,146.6,68,24.92,172.8,67,14.69,173.8,113,7.82,10,2,2.7,1,False
KS,107,415,354-6942,no,no,0,260.5,108,44.29,102.4,110,8.7,129.7,148,5.84,9.8,5,2.65,1,False
NY,91,415,377-9829,no,yes,20,146.1,98,24.84,277.4,104,23.58,137.7,100,6.2,6.2,3,1.67,1,False
MI,178,408,348-4660,yes,no,0,124.5,134,21.17,141.2,78,12,268.2,113,12.07,11.4,2,3.08,2,True
MA,123,415,410-5199,no,no,0,209.4,49,35.6,237.4,117,20.18,239.2,98,10.76,9.8,11,2.65,1,False
UT,170,415,397-6542,no,no,0,285.7,44,48.57,167.5,144,14.24,260,97,11.7,8.7,4,2.35,1,True
HI,135,415,333-4492,no,no,0,190.9,44,32.45,161.4,109,13.72,231.9,100,10.44,8.4,2,2.27,1,False
PA,85,408,405-9573,no,no,0,144.4,88,24.55,264.6,105,22.49,185.4,94,8.34,9.9,3,2.67,1,False
OR,134,415,359-7255,no,yes,50,208.8,130,35.5,132.9,104,11.3,136.7,107,6.15,11.1,4,3,2,False
TN,148,415,419-5501,no,yes,36,77.6,141,13.19,207,60,17.6,255.7,115,11.51,10.9,2,2.94,1,False
CT,93,415,404-4809,no,no,0,271.1,101,46.09,237.4,133,20.18,145.4,103,6.54,8.4,6,2.27,1,True
AZ,138,415,344-6334,no,no,0,240.8,104,40.94,144.5,92,12.28,125.7,98,5.66,11.6,1,3.13,0,False
OR,159,510,400-1899,no,no,0,114.8,98,19.52,192.6,101,16.37,259,108,11.66,12.2,5,3.29,0,False
DE,103,415,346-5053,no,yes,34,138.8,80,23.6,142,108,12.07,183.8,77,8.27,11.8,7,3.19,1,False
MA,150,408,398-2148,no,yes,27,209.8,112,35.67,155,80,13.18,251.5,111,11.32,7.2,6,1.94,0,False
CT,37,408,347-7675,no,no,0,134.9,98,22.93,248.4,130,21.11,236.2,113,10.63,14.7,2,3.97,3,False
AR,33,415,411-8956,yes,no,0,164,99,27.88,153.1,102,13.01,123.8,104,5.57,6.4,4,1.73,0,False
SD,55,415,390-3761,no,no,0,245.5,130,41.74,192.7,54,16.38,141.7,83,6.38,9.1,4,2.46,1,False
CT,134,408,377-3876,no,yes,32,80.3,94,13.65,199.9,124,16.99,170.8,117,7.69,16.6,3,4.48,0,False
CT,107,408,345-2476,no,no,0,90.7,90,15.42,207.5,109,17.64,169.4,96,7.62,5.6,5,1.51,2,False
MA,80,408,337-7879,no,yes,36,190.3,115,32.35,256.6,78,21.81,214.9,145,9.67,3.8,4,1.03,1,False
MS,78,408,361-7283,no,no,0,108.6,108,18.46,209.9,126,17.84,222.6,117,10.02,7.9,5,2.13,1,True
MT,85,408,372-4868,no,yes,17,89.8,88,15.27,233.2,75,19.82,165.7,116,7.46,9.3,7,2.51,4,True
AK,61,415,346-8863,no,yes,15,252.4,106,42.91,187.8,69,15.96,259.6,137,11.68,10,3,2.7,2,False
DE,97,415,390-5267,no,yes,32,183.4,94,31.18,269.1,120,22.87,203.5,38,9.16,6.7,4,1.81,5,False
OH,136,408,392-1547,yes,no,0,183.4,103,31.18,141.9,113,12.06,200.4,122,9.02,10.4,9,2.81,2,False
MN,135,408,340-8177,no,no,0,155.2,100,26.38,135.9,84,11.55,184.6,82,8.31,3.8,9,1.03,3,False
CA,87,415,383-4802,no,yes,19,165.8,122,28.19,186.9,89,15.89,249.7,78,11.24,0,0,0,1,False
OH,165,510,378-8567,no,no,0,209.4,67,35.6,273.8,89,23.27,150.2,88,6.76,12.8,1,3.46,0,False
NV,148,415,406-7844,no,no,0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2,True
SC,99,415,402-9173,no,no,0,174.1,102,29.6,99.1,118,8.42,211.6,126,9.52,7.7,2,2.08,2,False
WV,123,415,352-3440,no,no,0,175.7,78,29.87,184.6,96,15.69,156.9,92,7.06,9.1,2,2.46,2,False
NM,127,415,363-1413,yes,no,0,256.5,87,43.61,222.1,101,18.88,156.7,122,7.05,13,3,3.51,1,False
WY,151,415,394-8861,no,no,0,170.2,89,28.93,187.5,83,15.94,119.5,100,5.38,4.3,3,1.16,0,False
CA,185,408,358-4036,no,no,0,139.6,92,23.73,250.2,115,21.27,158.1,79,7.11,10.8,4,2.92,1,False
KS,65,415,392-4680,no,yes,34,208.8,119,35.5,142.1,106,12.08,214.6,87,9.66,12.5,4,3.38,4,False
WY,58,510,354-2762,no,no,0,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,14.4,2,3.89,4,False
OK,104,415,371-5811,no,no,0,113.6,87,19.31,158.6,98,13.48,187.7,87,8.45,10.5,6,2.84,2,False
UT,44,415,387-2014,no,no,0,202.6,89,34.44,163,96,13.86,268.1,151,12.06,8.3,3,2.24,0,False
MA,58,408,411-6598,no,no,0,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0,0,0,4,False
UT,108,415,355-9356,no,no,0,210.6,117,35.8,164.2,103,13.96,201.4,68,9.06,9.4,5,2.54,0,False
MN,132,510,406-4720,no,no,0,121.5,88,20.66,253,124,21.51,195.7,120,8.81,10.7,4,2.89,1,False
NE,80,415,356-7239,no,no,0,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2,False
OH,162,415,328-8747,no,no,0,135.2,98,22.98,242,107,20.57,246.9,96,11.11,10.2,2,2.75,2,False
KY,110,510,388-9464,no,no,0,99.4,62,16.9,275,86,23.38,212.1,94,9.54,16.7,3,4.51,2,False
WA,96,415,406-2866,no,no,0,276.9,105,47.07,246.9,94,20.99,254.4,107,11.45,10.3,3,2.78,1,True
NY,168,408,333-5729,no,no,0,163.4,134,27.78,240.1,87,20.41,164,147,7.38,11.6,2,3.13,2,True
IN,72,510,391-1499,no,no,0,287.4,116,48.86,235.3,126,20,292.1,114,13.14,5,3,1.35,4,True
CO,125,408,386-8690,no,yes,23,120.5,104,20.49,227.8,115,19.36,158.5,100,7.13,10.2,3,2.75,1,False
DC,170,510,391-2231,no,no,0,184.1,106,31.3,204.9,70,17.42,224.3,133,10.09,9.8,3,2.65,2,False
AK,71,510,332-2275,no,no,0,185,84,31.45,232.5,129,19.76,191.1,82,8.6,14.9,4,4.02,3,False
SC,124,415,340-4028,no,no,0,160.9,109,27.35,144.2,152,12.26,120.4,97,5.42,12.9,12,3.48,1,False
KS,68,415,363-3486,no,no,0,207.6,68,35.29,251.6,123,21.39,191.6,100,8.62,10.9,6,2.94,2,False
UT,97,415,418-3181,no,no,0,209.2,134,35.56,0,0,0,175.4,94,7.89,11.8,6,3.19,1,False
IL,98,510,351-3316,yes,no,0,158.4,71,26.93,306.6,66,26.06,144.2,93,6.49,2.1,4,0.57,1,False
DC,24,408,369-3626,no,no,0,149,73,25.33,131,81,11.14,238.6,69,10.74,8.6,3,2.32,2,True
DC,136,510,353-2763,no,no,0,204.5,63,34.77,208.8,95,17.75,224,119,10.08,9.8,2,2.65,0,False
OK,44,408,358-7165,no,no,0,288.8,86,49.1,175.9,87,14.95,215.4,106,9.69,9.5,2,2.57,0,True
KY,96,415,353-3223,no,yes,40,108.6,90,18.46,206.4,154,17.54,126.3,118,5.68,13.4,4,3.62,0,False
NE,31,415,338-9044,no,no,0,97.5,129,16.58,260.4,78,22.13,88.7,100,3.99,7,5,1.89,1,False
AL,72,415,341-7296,no,no,0,166.5,102,28.31,261,103,22.19,262.7,85,11.82,13.3,5,3.59,0,False
HI,24,415,398-4431,no,no,0,156.2,104,26.55,90,101,7.65,205.1,116,9.23,7.3,5,1.97,1,False
SC,112,415,408-5601,no,yes,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,11.5,1,3.11,4,False
GA,117,415,328-5188,yes,no,0,287.4,118,48.86,259.6,84,22.07,153.2,86,6.89,10,3,2.7,1,True
KS,137,415,329-4474,no,yes,19,175.3,96,29.8,241.3,146,20.51,211.4,109,9.51,7.8,2,2.11,0,False
PA,136,408,357-4573,no,no,0,102.1,75,17.36,219.5,97,18.66,73.7,92,3.32,9.8,5,2.65,0,False
UT,95,415,341-7112,no,no,0,157.9,103,26.84,259.6,90,22.07,230,117,10.35,14,2,3.78,0,False
OR,82,415,400-3147,no,yes,19,146.5,73,24.91,246.4,65,20.94,199,114,8.96,4.1,4,1.11,1,False
ND,145,415,378-1936,no,no,0,245.8,116,41.79,286.7,91,24.37,240.7,115,10.83,9,13,2.43,1,True
KY,56,415,347-1640,yes,no,0,177.7,114,30.21,215.6,110,18.33,236.7,67,10.65,10.5,5,2.84,1,False
MN,155,408,374-9531,yes,no,0,250.8,146,42.64,152.5,105,12.96,148.1,104,6.66,10,5,2.7,2,False
OH,133,408,380-4374,no,no,0,117.8,100,20.03,199.2,105,16.93,244.1,119,10.98,11.8,4,3.19,0,True
TX,53,415,380-9409,no,no,0,119.7,113,20.35,189.7,84,16.12,256.2,108,11.53,12.9,7,3.48,2,False
WY,123,415,387-1116,no,no,0,242.2,87,41.17,226.1,101,19.22,268.6,121,12.09,8.2,3,2.21,5,True
GA,136,415,400-7509,no,no,0,163.4,83,27.78,249.3,119,21.19,249.7,90,11.24,9.8,4,2.65,7,False
TX,57,415,403-6225,no,no,0,161,113,27.37,208,134,17.68,208.1,81,9.36,8.4,4,2.27,3,False
WV,62,408,382-8274,no,no,0,128.7,111,21.88,169.5,104,14.41,193.6,97,8.71,10.3,5,2.78,1,False
NM,112,415,354-5764,no,no,0,81.6,94,13.87,268.1,112,22.79,140.8,75,6.34,8.6,18,2.32,1,False
MI,55,415,387-6912,no,yes,20,207.7,91,35.31,199.7,113,16.97,216.5,110,9.74,7.3,1,1.97,1,False
NC,95,408,384-3413,no,no,0,128.6,115,21.86,216.2,88,18.38,255.3,96,11.49,6.3,2,1.7,6,True
NY,125,415,367-3950,no,no,0,233.3,65,39.66,209.8,93,17.83,210.6,109,9.48,9.1,4,2.46,1,False
TX,1,415,396-4254,no,no,0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10,3,2.7,5,True
KY,98,415,333-3010,no,yes,36,168,81,28.56,163.2,125,13.87,172.7,120,7.77,8,2,2.16,6,True
SD,105,415,393-1891,no,no,0,251.6,88,42.77,175.1,103,14.88,184.4,112,8.3,5.4,5,1.46,1,False
ID,113,415,336-9053,no,yes,30,183.8,102,31.25,183.4,123,15.59,235,52,10.58,11.6,7,3.13,0,False
OR,99,408,353-3372,no,no,0,256.4,44,43.59,214.5,105,18.23,233.7,75,10.52,7.9,1,2.13,3,True
WI,103,415,386-8943,no,no,0,180.2,134,30.63,97.7,85,8.3,181.7,134,8.18,8.4,3,2.27,1,False
WV,177,408,376-9716,no,no,0,227.8,81,38.73,161.8,97,13.75,217,106,9.76,8,5,2.16,1,False
SC,149,415,370-8676,no,yes,20,147.8,132,25.13,276.8,94,23.53,149.9,110,6.75,10.2,6,2.75,0,False
CT,160,415,360-2329,no,no,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1,True
NV,116,408,360-1320,no,no,0,110.9,54,18.85,213.4,82,18.14,186.2,116,8.38,7.9,2,2.13,2,False
ND,90,415,329-8638,no,yes,22,124.5,94,21.17,231.7,90,19.69,222.2,108,10,6.4,12,1.73,1,False
MI,148,415,385-1118,yes,no,0,233.5,81,39.7,187.7,71,15.95,122.3,97,5.5,9.6,2,2.59,0,True
MT,147,415,408-8269,no,yes,35,197.3,134,33.54,141.1,99,11.99,212.1,90,9.54,10.1,4,2.73,2,True
NE,95,510,391-2334,no,no,0,58.2,96,9.89,202.1,126,17.18,210.5,97,9.47,10.4,5,2.81,0,False
UT,201,510,373-8900,no,no,0,212.7,72,36.16,225.2,90,19.14,195.1,99,8.78,7,6,1.89,1,False
WV,80,415,382-3512,no,no,0,151.5,89,25.76,131.7,78,11.19,235.3,131,10.59,11.8,4,3.19,0,False
AR,122,415,420-4089,yes,no,0,146.3,117,24.87,218.7,93,18.59,236,97,10.62,11.5,5,3.11,1,False
MT,132,408,406-8465,no,no,0,195.1,100,33.17,148.8,95,12.65,224.5,117,10.1,6.7,2,1.81,0,False
UT,83,510,386-6114,no,no,0,208.9,71,35.51,214.8,92,18.26,247.9,108,11.16,13,5,3.51,1,False
HI,99,408,413-9328,no,no,0,135.7,107,23.07,208.4,103,17.71,209,95,9.4,8.8,3,2.38,7,True
KS,84,415,335-7144,no,no,0,225.9,86,38.4,275.6,105,23.43,201.4,108,9.06,14.3,3,3.86,3,True
NY,46,415,414-5177,no,no,0,122.2,67,20.77,167.2,62,14.21,194.8,98,8.77,9.7,6,2.62,1,False
OH,87,510,350-5993,no,no,0,153.3,106,26.06,224.5,117,19.08,273.4,152,12.3,8.9,5,2.4,2,False
HI,150,415,370-1465,no,no,0,214,117,36.38,192.4,89,16.35,242.6,99,10.92,7.9,4,2.13,1,False
KS,73,408,385-2370,no,no,0,194.8,112,33.12,167.2,85,14.21,100.3,61,4.51,10.8,6,2.92,1,False
IN,7,415,358-9146,no,no,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11,5,2.97,3,False
OR,89,415,357-8515,no,yes,12,188,105,31.96,151.3,107,12.86,201.9,132,9.09,10.5,3,2.84,2,False
NY,131,408,406-8995,yes,no,0,122.3,83,20.79,118.8,94,10.1,147.9,95,6.66,13.7,3,3.7,3,True
VA,105,415,344-3145,no,no,0,259.3,96,44.08,175.2,97,14.89,222.4,36,10.01,12,5,3.24,3,False
MI,108,408,341-9890,yes,no,0,115.1,114,19.57,211.3,70,17.96,136.1,85,6.12,13.8,3,3.73,2,True
ID,47,415,365-4387,no,yes,28,172.9,109,29.39,137.6,94,11.7,203.8,109,9.17,8.3,6,2.24,1,False
MO,101,415,375-3341,yes,no,0,156.4,116,26.59,130.4,114,11.08,207.3,109,9.33,7.3,5,1.97,1,False
AL,182,415,418-3096,no,yes,24,128.1,104,21.78,143.4,127,12.19,191,98,8.59,11.6,3,3.13,1,False
OR,161,408,378-3879,no,no,0,196.6,73,33.42,170.2,79,14.47,194.3,79,8.74,12.5,3,3.38,1,False
VT,128,408,344-1362,no,no,0,227.9,130,38.74,302.6,71,25.72,191.5,82,8.62,5.5,7,1.49,1,True
AZ,69,415,419-3937,no,yes,31,194.9,63,33.13,191.6,90,16.29,153,129,6.89,13.2,2,3.56,2,False
VA,113,408,348-4961,no,yes,34,44.9,63,7.63,134.2,82,11.41,168.4,118,7.58,13.3,3,3.59,1,False
PA,87,408,329-1410,no,yes,30,262.8,114,44.68,215.8,130,18.34,154.8,88,6.97,7.8,2,2.11,0,False
CO,71,415,332-9896,no,no,0,211.2,70,35.9,252.7,122,21.48,225.8,104,10.16,12.3,3,3.32,0,False
KY,76,415,407-8575,no,no,0,204,69,34.68,225.1,110,19.13,240.3,85,10.81,9.6,5,2.59,1,False
NJ,87,510,387-2799,no,no,0,223.2,109,37.94,127.5,86,10.84,289.3,83,13.02,14.5,4,3.92,3,False
IL,117,408,373-9108,no,no,0,119,82,20.23,187.5,108,15.94,189.3,97,8.52,11.5,3,3.11,1,False
WA,177,415,345-3947,no,no,0,266.1,91,45.24,225.2,79,19.14,224.7,58,10.11,8.9,8,2.4,3,True
WV,95,415,356-7511,no,no,0,134.4,104,22.85,152.4,95,12.95,236.5,80,10.64,9.4,3,2.54,1,False
RI,76,415,343-4516,no,no,0,171.1,78,29.09,257.2,83,21.86,91.6,92,4.12,16.2,3,4.37,1,False
OH,66,415,408-6305,no,no,0,170.5,103,28.99,254.3,77,21.62,197.3,138,8.88,10.5,2,2.84,2,False
MO,110,415,338-7305,no,no,0,178.5,124,30.35,146.9,141,12.49,217.1,102,9.77,9.9,7,2.67,1,False
MD,204,510,401-3077,no,no,0,205.2,145,34.88,154.8,95,13.16,191.4,77,8.61,14.1,5,3.81,3,False
OH,32,415,401-6977,no,yes,31,232.8,97,39.58,183.5,111,15.6,206.8,111,9.31,13,2,3.51,0,False
VA,133,408,385-1464,no,yes,39,239.9,107,40.78,253.8,77,21.57,128.7,85,5.79,6.7,3,1.81,5,False
FL,185,408,417-5034,no,no,0,55.6,97,9.45,288.7,83,24.54,111.2,110,5,12.1,3,3.27,2,False
CO,103,415,420-7066,no,yes,37,153.5,78,26.1,241.9,108,20.56,244.7,110,11.01,10.6,3,2.86,1,False
NY,91,510,394-8256,no,no,0,109.8,100,18.67,189.6,104,16.12,206.7,85,9.3,11.1,3,3,1,False
WV,131,415,362-5044,no,no,0,196.1,89,33.34,185.5,87,15.77,250,132,11.25,5.2,6,1.4,2,False
LA,153,510,350-2075,no,no,0,166.8,127,28.36,143.5,121,12.2,210.7,130,9.48,11.8,4,3.19,0,False
MA,132,415,343-5372,no,yes,25,113.2,96,19.24,269.9,107,22.94,229.1,87,10.31,7.1,7,1.92,2,False
UT,148,510,377-9520,no,no,0,203,92,34.51,150.9,125,12.83,245.5,131,11.05,14.6,9,3.94,1,False
AL,141,408,391-6773,no,no,0,242.8,90,41.28,234.1,80,19.9,211.5,104,9.52,6,3,1.62,5,False
ME,105,415,403-4442,no,no,0,156.5,102,26.61,140.2,134,11.92,227.4,111,10.23,12.2,2,3.29,2,False
TX,169,408,379-5885,no,no,0,266.7,105,45.34,158.2,88,13.45,287.7,111,12.95,13.8,3,3.73,3,True
ND,127,415,399-1021,no,yes,23,182,80,30.94,216.1,85,18.37,156.9,82,7.06,9.8,4,2.65,1,False
CO,57,415,342-4004,no,no,0,85.9,92,14.6,193.9,127,16.48,231.5,93,10.42,10.1,2,2.73,0,False
LA,123,415,382-7659,no,yes,33,146.6,87,24.92,114.8,59,9.76,220.4,99,9.92,2.9,7,0.78,0,False
MT,103,510,342-1004,no,yes,35,110.5,101,18.79,208.3,81,17.71,87.4,77,3.93,13.9,2,3.75,4,True
OR,101,415,398-5851,no,no,0,118.6,89,20.16,199.6,97,16.97,53.3,61,2.4,11.5,5,3.11,1,False
NH,123,415,396-4869,no,yes,22,197.6,105,33.59,80,86,6.8,120.8,82,5.44,15.6,12,4.21,2,False
NE,78,510,422-8333,no,yes,32,210.3,116,35.75,192.2,83,16.34,246.1,92,11.07,10.8,4,2.92,6,False
WV,101,415,367-9127,no,yes,28,220.3,96,37.45,285.8,72,24.29,203,111,9.14,9.4,6,2.54,4,False
NV,129,415,420-3028,no,no,0,150,98,25.5,232.4,101,19.75,261.2,123,11.75,12.5,6,3.38,1,False
MA,67,415,357-6348,no,yes,34,161.7,114,27.49,207.6,115,17.65,205.7,114,9.26,9.2,4,2.48,0,False
MI,37,415,386-1131,no,no,0,191.4,116,32.54,167.4,99,14.23,216.5,112,9.74,14,5,3.78,3,False
KY,64,415,349-8391,yes,no,0,146.7,83,24.94,148.3,91,12.61,238.6,69,10.74,12.5,3,3.38,3,False
WV,173,510,421-1484,no,no,0,109.4,103,18.6,101.3,111,8.61,167.3,106,7.53,7.8,7,2.11,1,False
KY,135,510,414-2663,no,no,0,144.1,115,24.5,249.8,68,21.23,211.4,82,9.51,13.6,3,3.67,1,False
NJ,75,415,327-6989,no,yes,42,248.9,93,42.31,170.8,108,14.52,104.5,91,4.7,11.2,8,3.02,1,False
ME,88,415,405-5513,no,no,0,85.7,112,14.57,221.6,70,18.84,190.6,75,8.58,11.6,3,3.13,4,True
TX,112,415,345-9168,no,no,0,214.8,112,36.52,209.7,104,17.82,164.4,97,7.4,9.4,5,2.54,3,False
MN,113,408,417-5146,no,no,0,158.9,137,27.01,242.8,109,20.64,247.8,97,11.15,6.5,4,1.76,0,False
VA,121,510,339-2792,no,yes,28,110,94,18.7,141.5,76,12.03,237.3,87,10.68,6.4,3,1.73,2,False
DC,70,415,345-8397,no,no,0,152.8,145,25.98,183.6,102,15.61,151.8,75,6.83,10.5,2,2.84,1,False
MD,90,415,344-6404,no,no,0,145.6,103,24.75,197.1,137,16.75,294.5,83,13.25,10.5,4,2.84,0,False
RI,39,408,417-9455,no,no,0,93.3,83,15.86,199.6,114,16.97,206.2,104,9.28,6.5,4,1.76,0,False
MA,142,408,343-1009,no,no,0,216.8,134,36.86,187.8,106,15.96,138.1,108,6.21,8.3,2,2.24,0,False
MD,176,408,365-3493,no,no,0,201.9,101,34.32,154.7,78,13.15,164.4,79,7.4,9,2,2.43,1,False
NM,105,408,376-7043,no,no,0,146.4,81,24.89,225.1,80,19.13,230.1,117,10.35,8.5,2,2.3,1,False
MN,57,415,348-5728,no,no,0,272.7,74,46.36,224.9,85,19.12,178.2,104,8.02,10.5,3,2.84,2,True
MI,110,510,357-5784,no,no,0,18.9,92,3.21,258.4,81,21.96,109.6,74,4.93,14.8,4,4,1,False
AZ,88,415,417-9844,no,no,0,172.8,81,29.38,193.4,90,16.44,89.6,107,4.03,12.8,5,3.46,2,False
AL,95,408,333-7225,no,no,0,190.2,119,32.33,157.1,70,13.35,181.5,120,8.17,14,6,3.78,0,False
MI,147,415,382-4943,no,no,0,130.6,83,22.2,208.1,144,17.69,204.6,72,9.21,15.6,3,4.21,3,False
SC,101,415,345-4589,no,no,0,158.4,92,26.93,188,117,15.98,219.7,125,9.89,13.5,4,3.65,4,True
MS,115,415,404-6337,no,no,0,166.5,111,28.31,236.2,98,20.08,205.6,92,9.25,15.6,2,4.21,1,False
MS,103,415,412-1470,no,no,0,129.3,103,21.98,202.8,89,17.24,233,126,10.49,12.9,2,3.48,2,False
CA,82,415,394-9220,no,no,0,199.3,112,33.88,193.4,120,16.44,254.4,117,11.45,7,10,1.89,0,False
MD,141,415,364-5362,no,no,0,185.1,126,31.47,233,98,19.81,152.2,106,6.85,9.1,7,2.46,0,False
